EMP_NO,FIRST_NAME,MID_INIT,LAST_NAME,DEPT,PHONE_NO,HIRE_DATE,JOB_TITLE,EMP_LEVEL
10,CHRISTINE,I,HAAS,A00,3978,1/1/1965,PRES,18
20,MICHAEL,L,THOMPSON,B01,3476,10/10/1973,MANAGER,18
30,SALLY,A,KWAN,C01,4738,4/5/1975,MANAGER,20
50,JOHN,B,GEYER,E01,6789,8/17/1949,MANAGER,16
60,IRVING,F,STERN,D11,6423,9/14/1973,MANAGER,16
70,EVA,D,PULASKI,D21,7831,9/30/1980,MANAGER,16
90,EILEEN,W,HENDERSON,E11,5498,8/15/1970,MANAGER,16
100,THEODORE,Q,SPENSER,E21,972,6/19/1980,MANAGER,14
110,VINCENZO,G,LUCCHESSI,A00,3490,5/16/1958,SALESREP,19
120,SEAN,,O'CONNELL,A00,2167,12/5/1963,CLERK,14
130,DOLORES,M,QUINTANA,C01,4578,7/28/1971,ANALYST,16
140,HEATHER,A,NICHOLLS,C01,1793,12/15/1976,ANALYST,18
150,BRUCE,,ADAMSON,D11,4510,2/12/1972,DESIGNER,16
160,ELIZABETH,R,PIANKA,D11,3782,10/11/1977,DESIGNER,17
170,MASATOSHI,J,YOSHIMURA,D11,2890,9/15/1978,DESIGNER,16
180,MARILYN,S,SCOUTTEN,D11,1682,7/7/1973,DESIGNER,17
190,JAMES,H,WALKER,D11,2986,7/26/1974,DESIGNER,16
200,DAVID,,BROWN,D11,4501,3/3/1966,DESIGNER,16
210,WILLIAM,T,JONES,D11,942,4/11/1979,DESIGNER,17
220,JENNIFER,K,LUTZ,D11,672,8/29/1968,DESIGNER,18
230,JAMES,J,JEFFERSON,D21,2094,11/21/1966,CLERK,14
240,SALVATORE,M,MARINO,D21,3780,12/5/1979,CLERK,17
250,DANIEL,S,SMITH,D21,961,10/30/1969,CLERK,15
260,SYBIL,P,JOHNSON,D21,8953,9/11/1975,CLERK,16
270,MARIA,L,PEREZ,D21,9001,9/30/1980,CLERK,15
280,ETHEL,R,SCHNEIDER,E11,8997,3/24/1967,OPERATOR,17
290,JOHN,R,PARKER,E11,4502,5/30/1980,OPERATOR,12
300,PHILIP,X,SMITH,E11,2095,6/19/1972,OPERATOR,14
310,MAUDE,F,SETRIGHT,E11,3332,9/12/1964,OPERATOR,12
320,RAMLAL,V,MEHTA,E21,9990,7/7/1965,FILEREP,16
330,WING,,LEE,E21,2103,2/23/1976,FILEREP,14
340,JASON,R,GOUNOT,E21,5698,5/5/1947,FILEREP,16
200010,DIAN,J,HEMMINGER,A00,3978,1/1/1965,SALESREP,18
200120,GREG,,ORLANDO,A00,2167,5/5/1972,CLERK,14
200140,KIM,N,NATZ,C01,1793,12/15/1976,ANALYST,18
200170,KIYOSHI,,YAMAMOTO,D11,2890,9/15/1978,DESIGNER,16
200220,REBA,K,JOHN,D11,672,8/29/1968,DESIGNER,18
200240,ROBERT,M,MONTEVERDE,D21,3780,12/5/1979,CLERK,17
200280,EILEEN,R,SCHWARTZ,E11,8997,3/24/1967,OPERATOR,17
200310,MICHELLE,F,SPRINGER,E11,3332,9/12/1964,OPERATOR,12
200330,HELENA,,WONG,E21,2103,2/23/1976,FIELDREP,14
200340,ROY,R,ALONZO,E21,5698,5/5/1947,FIELDREP,16
